;artist.hotttnesss;bars_confidence;bars_start;beats_confidence;beats_start;duration;end_of_fade_in;familiarity;key_confidence;latitude;mode_confidence;release.id;song.hotttnesss;start_of_fade_out;tatums_confidence;tatums_start;tempo;terms_freq;time_signature_confidence;year;spotify_popularity;target_h
31;0.416173065;145;0.96908;708;0.42073;342.56934;63;0.706827671;381;41.88415;538;228326;0.413739836;333.154;462;0.13836;110.189;0.985011245;353;1972;0.06;0.413739836
32;0.452789477;42;0.56075;0;0.56075;484.62322;28.172;0.560557984;283;27.94017;363;463514;0.377531645;480.363;57;0.56075;138.007;1;893;0;0;0.377531645
33;0.418216518;812;0.10131;812;0.10131;164.80608;0;0.640807102;254;40.7038;42;643400;0.443291312;156.177;879;0.10131;130.1;0.922774628;0;1964;NA;0.443291312
34;0.384611084;0;0.24118;0;0.24118;133.32853;0;0.523714637;384;30.08615;402;663761;0;130.009;515;0.04851;160.839;0.984993496;0;1992;0;0
37;0.488019842;35;0.2438;604;0.2438;450.84689;467;0.809323793;726;29.42449;367;244586;0.593943076;426.104;267;0.09307;130.586;1;0.42;0;NA;0.593943076
39;0.382651971;359;0.77461;773;0.77461;128.83546;0;0.597541218;0;37.1573567501336;251;644631;0.394394856;121.423;302;0.77461;90.932;0.842995301;1;0;NA;0.394394856
40;0.294861262;238;0.92047;908;0.23284;456.30649;241;0.495445922;611;37.1573567501336;546;730551;0;451.315;0;0.06094;89.667;0.878319228;747;0;0;0
41;0.393121934;379;0.73465;268;0.28881;198.73914;0;0.527865076;673;34.05349;579;709879;0.450992312;193.016;461;0.14044;115.061;0.974033549;731;2007;0.02;0.450992312
42;0.467538444;987;0.90181;471;0.38075;95.68608;0;0.668674533;421;42.33168;589;706005;0.528782481;87.806;0.84;0.12215;115.887;1;744;2003;0.19;0.528782481
43;0.735765693;797;0.15016;797;0.15016;271.49016;171;0.814829656;301;51.50632;392;42595;0.83449262;263.784;18;0.15016;139.333;0.999983058;0;0;NA;0.83449262
44;0.350078579;16;0.86592;917;0.34973;226.66404;311;0.482356043;863;37.1573567501336;671;782470;0;219.51;646;0.34973;117.271;1;453;0;0.1;0
45;0.442765842;77;1.56662;799;0.37554;190.48444;258;0.661080168;544;35.91463;596;28723;0.510119314;177.029;537;0.37554;102.428;1;496;1995;0.05;0.510119314
46;0.466628889;2;0.93659;885;275;277.78567;0.24;0.701180874;0;34.36401;0;557761;0.482137585;267.453;963;275;89.984;0.980350471;0;2004;0.29;0.482137585
47;0.544257506;8;0.74277;1;0.2077;248.78975;183;0.73379894;754;32.77815;597;417945;NA;246.19;867;0.2077;116.721;0.999791772;522;1992;0.46;0.46
48;0.452817838;58;0.32071;651;0.32071;195.3171;0;0.590692918;0.98;37.1573567501336;753;575531;NA;187.617;672;0.32071;123.142;1;678;2002;0.09;0.09
49;0.394217199;2;0.74575;706;0.32409;175.72526;734;0.665322162;522;37.1573567501336;474;234425;0.785892288;168.699;1;0.11431;141.919;0.877629027;445;2006;0.22;0.785892288
50;0.33457736;24;0.47086;0;0.47086;217.23383;1.042;0.50407567;5;52.51607;305;505301;NA;213.496;283;0.15342;95.596;1;1;1995;0.07;0.07
51;0.479308459;877;0.12284;877;0.12284;344.05832;68;0.717670525;425;37.1573567501336;486;74655;0.561692411;335.029;0.56;0.12284;154.953;0.998786077;0;1974;NA;0.561692411
52;0.427914247;68;2.90946;675;0.14772;251.42812;71;0.669726188;391;-23.56287;319;322532;0.43483809;237.598;228;0.14772;86.091;1;551;2009;NA;0.43483809
53;0.412240601;267;0.34237;1;0.34237;269.7922;218;0.569741152;715;37.1573567501336;614;14592;0.405115722;257.416;466;0.34237;90.218;1;1;1997;0.2;0.405115722
54;0.40439264;276;0.05314;276;0.05314;206.05342;0;0.640048357;641;34.05349;597;515081;NA;206.053;0.48;0.05314;133.144;1;0;1977;0.15;0.15
56;0.500691341;386;0.42366;0;0.0889;241.162;549;0.643182773;222;37.1573567501336;403;17220;0.767727748;230.342;587;0.0889;180.149;0.961375214;0;1986;0.69;0.767727748
57;0.338414819;102;0.49054;0;0.49054;122.64444;0.99;0.411421048;0.61;37.1573567501336;489;617077;0.43483809;109.627;411;0.05812;102.538;0.947930118;869;1966;0.1;0.43483809
58;0.523699078;453;8.99358;777;2.31778;207.0722;2.583;0.75100762;442;51.50632;371;278999;0.38293509;202.757;516;2.31778;84.164;0.947914829;853;1985;NA;0.38293509
59;0.383524247;8;1.1612;379;0.67535;300.79955;0;0.54858513;666;54.48303;658;19601;0.610474258;298.347;249;0.42142;124.175;1;698;1995;0.11;0.610474258
60;0.481655862;632;0.02909;632;0.02909;228.46649;0;0.749317801;458;37.1573567501336;602;38599;0.226555314;228.466;513;0.02909;137.004;1;0;1997;NA;0.226555314
61;0.380704536;114;0.96617;526;0.3834;239.59465;311;0.631946666;527;37.77916;613;619882;0.415983118;236.507;488;0.08155;106.33;0.920584126;526;0;0.02;0.415983118
63;0.45755391;234;0.38387;0;0.38387;165.61587;2.171;0.668370612;108;-37.81753;256;681639;0;165.616;115;0.21142;174.287;0.932857594;132;2000;0.03;0
64;0.788805935;109;1.18583;1;0.15226;187.92444;328;0.845768866;612;36.16778;735;449471;0.685940227;180.344;784;0.15226;116.823;1;347;2003;0.33;0.685940227
65;0.30004649;18;1.1958;611;0.01968;276.50567;299;0.407455644;0.29;37.1573567501336;389;321356;0;261.956;656;0.01968;101.972;1;1;0;0.01;0
67;0.554291489;81;0.76754;644;0.29609;144.50893;237;0.778816717;93;37.1573567501336;423;104765;0.671236027;140.057;829;0.0586;152.622;1;358;1992;0.53;0.671236027
69;0.466826993;393;1.74155;872;0.67947;246.69995;322;0.711165787;161;37.1573567501336;205;509770;0.62616576;224.049;399;0.42263;112.903;1;1;1990;NA;0.62616576
70;0.30045446;66;0.36508;948;0.36508;84.03546;328;0.443162398;469;-24.9162;591;223779;0;75.79;386;0.11188;115.642;1;0.44;1985;NA;0
71;0.266275286;23;1.21595;1;0.25377;273.52771;2.177;0.400433514;652;37.1573567501336;694;466577;0.199238262;268.893;641;0.25377;125.013;0.942755424;1;2000;0.02;0.199238262
72;0.337507289;0;0.36873;443;0.36873;298.84036;19.093;0.477364753;596;37.1573567501336;567;148547;0.265861049;289.46;0;0.16818;113.277;1;872;0;NA;0.265861049
73;0.36366811;36;0.98426;883;0.36334;161.38404;165;0.617870116;665;18.11526;606;423012;0.237733942;161.384;262;0.05327;96.979;0.892334368;895;1997;0.12;0.237733942
74;0.579988982;812;0.34761;812;0.34761;209.29261;0;0.744641246;455;37.1573567501336;0.48;7133;0.82448213;206.623;775;0.14268;140.995;0.999932033;0.41;0;NA;0.82448213
75;1.005941966;933;1.1904;692;0.63902;229.61587;0;0.845601887;205;37.1573567501336;332;358442;0.624425493;213.664;0.41;0.36332;105.206;1;1;2004;NA;0.624425493
76;0.598458501;18;1.76242;1;0.80838;426.89261;286;0.905776889;0.05;41.50471;395;15567;0.635536649;399.9;1;0.33137;63.017;0.999945289;378;2000;NA;0.635536649
78;0.139247394;319;0.50432;0;0.14912;249.41669;647;0.408389022;883;37.1573567501336;728;80578;0.198785349;238.434;662;0.14912;167.92;1;0.75;0;0.06;0.198785349
79;0.389100776;1;0.06727;1;0.06727;136.48934;229;0.606925359;386;40.71455;632;26902;NA;130.026;782;0.06727;129.122;1;0;1963;0.53;0.53
80;0.322485106;9;0.64544;1;0.19348;233.27302;386;0.562463784;0.53;37.1573567501336;501;633532;0;231.178;0.89;0.19348;132.022;0.981267204;782;2001;0;0
81;0.335651839;0.87;302;0.87;302;187.24526;107;0.481004583;842;37.1573567501336;721;435830;0.249065795;178.625;598;0.13943;183.92;0.939709535;63;2005;NA;0.249065795
84;0.481024239;153;0.09896;1;0.09896;142.75873;218;0.67159627;0.62;34.03142;814;112851;NA;135.546;614;0.09896;137.29;0.970825545;0;0;0.03;0.03
85;0.343281882;635;0.52519;635;0.52519;194.11546;89;0.449323615;1;35.82213;886;200689;0.382723281;182.729;479;0.15887;82.343;0.998410062;387;2002;0.11;0.382723281
86;0.386669092;0.52;1.87142;431;0.61665;195.91791;165;0.51644378;883;27.94653;735;682725;NA;192.087;444;0.20411;91.487;1;0;1990;0.34;0.34
87;0.538070295;83;3.56292;489;0.22888;118.33424;0;0.728209707;0;37.1573567501336;0;287804;NA;118.334;105;0.22888;84.69;0.896826245;678;1999;0.24;0.24
88;0.552413346;2;0.68393;1;0.15338;288.41751;113;0.798645179;0.08;37.1573567501336;665;220917;0.725121284;279.179;1;0.15338;115.606;0.920686051;0;2005;0.38;0.725121284
89;0.347598889;0;0.14694;0;0.14694;123.21914;1.001;0.445854631;278;33.52029;482;629785;NA;118.079;599;0.14694;126.523;1;0;0;0;0
90;0.398547535;0.02;0.72006;779;0.18905;283.76771;0;0.605109702;823;53.4796;0.69;11305;0.665172241;271.83;1;0.18905;113.677;0.99732938;1;1990;0.14;0.665172241
91;0.421415103;69;1.76995;725;0.38749;239.3073;182;0.454043995;569;37.1573567501336;601;4967;0.554654768;220.264;542;0.04274;86.938;0.92892821;222;0;NA;0.554654768
92;0.404182207;0.07;0.55647;1;0.13404;206.75873;96;0.543516131;613;37.1573567501336;656;325335;0.304169503;193.115;843;0.13404;141.936;1;634;0;0.01;0.304169503
93;0.313569343;613;0.24456;613;0.24456;134.81751;0;0.42054585;847;37.1573567501336;646;82932;NA;130.723;0;0.24456;106.049;1;0;0;0.02;0.02
95;0.493566843;58;2.95336;579;0.65164;124.18567;0;0.743129776;74;37.1573567501336;492;8552;0.57010593;121.005;0;0.16161;85.008;1;1;2001;NA;0.57010593
97;0.331090126;0.71;0.23005;0.71;0.23005;155.61098;154;0.416141023;599;40.71455;517;489673;NA;150.75;1;0.23005;118.975;1;3;0;0;0
99;0.316354001;43;1.38242;761;0.33359;223.4771;291;0.430538907;0;56.153;138;495041;0;220.026;783;0.33359;112.006;0.942971915;844;1961;0.04;0
100;0.317833879;0.99;10.84083;0;1.34066;443.24526;0.23;0.428375417;0;31.84666;51;225610;0.270775999;430.736;703;0.33736;45.527;0.985270123;0;0;0.01;0.270775999
101;0.345751247;159;1.66153;848;0.96449;177.81506;554;0.545110951;695;37.1573567501336;673;473710;NA;167.48;859;0.61541;85.621;0.893803057;612;2006;0.06;0.06
103;0.432011947;233;0.95031;0;0.38454;324.44036;0;0.559278494;558;37.1573567501336;718;341940;0.405115722;312.239;0;0.38454;216.195;1;1;1995;NA;0.405115722
104;0.325148571;93;0.8598;616;0.41287;275.12118;0.34;0.438887475;699;36.16778;527;766444;0.242741879;272.933;741;0.41287;132.428;0.949727911;281;0;NA;0.242741879
105;0.414892612;79;0.15435;0;0.15435;294.66077;864;0.57810363;238;37.77916;0.07;432406;0.386790177;282.564;513;0.15435;168.307;1;0;0;0.18;0.386790177
106;0.391585329;45;0.56594;662;0.14386;193.20118;497;0.502453177;371;37.1573567501336;484;546663;NA;190.003;0.21;0.14386;140.956;1;866;0;0;0
107;0.384184259;53;0.6235;1;0.16237;357.82485;131;0.541975108;485;37.1573567501336;427;548374;0.511254835;353.785;1;0.16237;130.016;0.947705021;1;1991;NA;0.511254835
108;0.412671631;5;0.41054;1;0.0684;198.3473;201;0.683719468;306;37.1573567501336;0.22;704183;0.460484845;182.184;603;0.0684;175.769;1;0.7;1997;0.14;0.460484845
109;0.628246419;82;0.2688;871;0.2688;261.95546;0;0.614870934;0.96;37.1573567501336;634;307618;0.488289876;253.452;799;0.2688;100.194;0.939349522;1;2005;0.16;0.488289876
110;0.374271174;25;0.87289;1;0.4435;176.27383;183;0.626436382;171;18.01571;239;784530;NA;166.911;1;0.23251;151.911;1;231;1985;0.01;0.01
113;0.405178359;1;0.18671;1;0.18671;239.59465;0.31;0.567278871;601;37.77916;563;372122;NA;231.3;551;0.18671;172.398;1;0;1971;0.13;0.13
114;0.28404741;132;1.49595;612;0.42142;171.49342;85;0.432386477;0.45;40.99471;685;577023;0;165.216;531;0.1441;109.823;0.986476662;659;0;NA;0
115;0.343185045;836;0.63247;836;0.63247;266.05669;0.23;0.513829587;936;40.71455;763;572855;0;256.064;809;0.26631;90.101;0.929447888;0;0;0.01;0
116;0.601184942;666;1.00904;853;0.49144;329.27302;0.45;0.790922848;497;37.1573567501336;491;523481;0.345802234;322.101;0.94;0.23264;116.473;1;1;1994;0.57;0.345802234
117;0;26;0.97322;469;0.49835;198.922;228;0.454668191;0;35.4948;94;219943;0.333554807;190.705;0.5;0.26092;126.821;1;0;0;0.01;0.333554807
118;0.422472423;212;1.46125;741;0.36893;283.21914;258;0.657406765;499;41.88415;652;266932;0.617365618;277.467;462;0.0982;111.191;0.923552601;851;1971;NA;0.617365618
120;0.437964733;812;0.49594;812;0.49594;254.06649;0.43;0.652367864;446;37.1573567501336;383;421962;0.394394856;249.562;875;0.24195;137.888;1;0;1999;NA;0.394394856
123;0.403509673;59;0.44814;0;0.09927;162.53342;524;0.624723768;243;32.77942;297;138320;0.374796837;151.551;378;0.09927;173.482;1;804;0;NA;0.374796837
124;0.566971566;0.08;1.31008;0;0.22523;212.37506;868;0.79225559;372;37.1573567501336;207;722546;NA;209.438;895;0.08957;110.745;0.999931453;1;2009;0.23;0.23
125;0.372251208;816;1.06691;65;0.59466;338.33751;0;0.573605491;626;37.1573567501336;575;46647;0.265861049;328.986;65;0.59466;130.027;1;509;1995;0.04;0.265861049
126;0.326848818;24;0.71979;0.49;0.17426;126.51057;0;0.555985053;228;42.31256;374;547104;0.233796474;121.702;0;0.17426;110.168;0.959851413;0.92;0;0;0.233796474
127;0;263;1.11556;0;0.44532;205.58322;612;0.42562724;825;37.1573567501336;836;683402;NA;182.323;0;0.11215;97.976;1;1;0;0.24;0.24
128;0.363177861;58;0.62823;535;0.62823;193.4624;2.717;0.662649695;373;37.1573567501336;548;128198;0.215080319;184.274;218;0.62823;119.979;1;1;2007;NA;0.215080319
129;0.345809443;512;0.95881;512;0.95881;127.4771;2.148;0.491921881;0.81;37.1573567501336;864;818344;NA;118.195;86;0.76143;156.968;0.927710976;0;0;0;0
131;0.498395338;16;0.65257;0;0.20769;292.8322;3.344;0.70334944;295;42.73383;196;293668;0.466304831;273.589;105;0.20769;133.306;1;338;2001;0.12;0.466304831
132;0.301502462;178;0.92398;618;0.92398;241.10975;2.659;0.434272038;965;40.71455;744;117983;0.480610618;230.429;618;0.92398;152.267;1;1;1990;0.23;0.480610618
133;0.459665457;111;0.72495;1;0.36318;270.68036;334;0.733714697;0.33;42.99671;526;6949;0.26568338;267.906;1;0.36318;166.275;1;845;0;NA;0.26568338
134;0.431526919;83;0.80573;905;0.29176;188.73424;0;0.625443262;862;30.2676;1;735425;NA;178.463;807;0.29176;114.971;1;0;0;0;0
136;0.351210537;306;0.07332;306;0.07332;254.32771;0;0.505644262;0.64;37.1573567501336;692;199953;NA;249.858;0;0.07332;152.005;0.934236172;605;0;0;0
138;0.446890727;0;0.03212;0;0.03212;301.81832;2.566;0.661001337;683;54.31392;549;276924;0.345802234;289.332;124;0.03212;61.971;0.908228194;397;1991;0.35;0.345802234
139;0.507965802;151;0.34798;387;0.34798;416.80934;0;0.830252262;644;37.1573567501336;607;193554;0.82517354;396.533;0.69;0.0276;124.04;1;0.82;1997;NA;0.82517354
140;0.424931835;0.04;0.47649;0;0.16066;413.36118;0;0.554226467;56;37.1573567501336;306;409813;0;408.503;1;0.16066;191.196;1;0;0;NA;0
141;0.550762085;0.35;0.58065;896;0.16757;117.002;0;0.839275393;458;37.1573567501336;0.44;440990;NA;114.712;415;0.16757;152.127;0.953021558;651;2005;0.42;0.42
142;0.682263177;497;0.71063;1;0.10911;217.36444;224;0.833178561;805;37.1573567501336;688;302176;0.73738531;212.161;538;0.10911;100.023;1;937;0;NA;0.73738531
144;0.383877494;368;0.78649;382;0.38868;203.98975;161;0.604820432;236;39.15093;384;762519;0.47212112;182.921;732;0.19413;154.322;0.983628765;0;1988;NA;0.47212112
145;0.339408486;108;0.55637;787;0.2978;192.44363;485;0.378013152;84;37.1573567501336;405;177029;0;178.66;787;0.2978;236.006;1;761;0;NA;0
146;0.382869956;97;0.94607;357;0.15349;285.36118;0;0.441593442;321;52.1082;421;517150;0.392008772;274.715;688;0.15349;150.666;1;1;0;0.01;0.392008772
148;0.32138373;316;0.58192;607;0.10684;123.66322;0;0.4621406;138;37.1573567501336;452;517488;NA;119.705;0;0.10684;104.153;0.93249529;72;0;0;0
150;0.544446277;58;0.64194;826;0.26421;204.06812;415;0.669500125;606;35.66693;514;696947;0.236420182;193.562;0.89;0.07628;160.165;1;1;0;NA;0.236420182
153;0.350327605;477;0.20197;868;0.20197;127.9473;165;0.530605798;655;37.1573567501336;525;492999;0.444401715;123.222;485;0.20197;135.78;0.995553751;87;2001;0.04;0.444401715
154;0.306603641;9;1.15604;833;0.29463;570.90567;0.15;0.480047819;792;37.1573567501336;646;120640;NA;538.372;622;0.08551;122.967;1;1;0;0;0
156;0.395709548;137;0.89888;279;0.48245;240.74404;0;0.593416049;735;50.45663;838;785362;0.543052864;240.744;378;0.48245;135.535;1;583;2010;0.01;0.543052864
157;0.380704536;322;0.1659;1;0.1659;192.20853;357;0.631946666;523;37.77916;537;298921;0.608500079;183.229;511;0.1659;139.189;0.920584126;418;1989;NA;0.608500079
158;0;28;1.8618;706;0.05108;152.0322;479;0.20107756;656;37.1573567501336;393;162273;NA;143.871;555;0.05108;128.598;1;197;0;0.01;0.01
159;0.409134869;31;1.07333;541;0.35811;215.30077;588;0.618765786;445;37.1573567501336;496;605167;0;208.376;315;0.18068;163.445;0.910303408;15;2004;0.01;0
162;0.60797181;562;2.24039;238;1.67818;428.56444;4.267;0.81444811;743;47.60356;727;307651;0.659304669;414.697;69;1.67818;105.994;0.954857727;1;2006;0.48;0.659304669
164;0.574274731;0.02;0.80159;385;0.29973;654.28853;3.048;0.780461749;539;37.1573567501336;617;538734;0.626612803;638.462;351;0.29973;118.433;0.999863626;802;2009;NA;0.626612803
165;0.433945514;198;1.1645;603;0.5406;306.72934;0;0.605874049;0;36.69094;232;767591;0.270775999;276.149;338;0.22825;96.007;1;906;0;NA;0.270775999
166;0.246340714;2;0.33922;478;0.33922;229.51138;3.233;0.638880206;457;37.1573567501336;398;554760;NA;222.285;149;0.17961;187.807;1;381;0;0;0
168;0.379436972;25;0.98812;1;0.17951;127.05914;322;0.635757022;826;37.1573567501336;936;293622;0.494489518;114.724;676;0.17951;148.357;1;97;0;0.18;0.494489518
169;0.512226738;42;0.89966;806;0.46147;44.35546;0;0.786427083;0;34.23294;0;472444;0.304169503;44.355;418;0.46147;136.164;0.999989369;0.68;0;NA;0.304169503
172;0.476559379;0.37;0.82038;0;0.04246;140.66893;78;0.727230316;6;37.1573567501336;127;329967;0.519448582;135.285;0;0.04246;89.495;0.999743837;614;1986;0.14;0.519448582
173;0.456940558;85;0.36695;463;0.36695;201.09016;0;0.665728336;608;29.78772;505;71267;NA;201.09;609;0.05221;102.259;0.998509337;1;1988;0.21;0.21
174;0.360583582;185;0.7081;0;0.09479;254.79791;0;0.53938059;647;37.1573567501336;0.54;282150;0;236.141;491;0.09479;107.529;0.96793713;1;1998;0.01;0
175;0.370194701;121;1.79615;866;0.56961;143.0722;0.32;0.075124762;675;34.01156;353;46723;0;133.724;473;0.26777;99.408;0.9221646;1;0;NA;0
176;0.250601286;147;0.93377;982;0.20126;163.49995;2.171;0.312415123;753;52.88356;629;575880;0;156.212;0.23;0.20126;79.731;0.99891338;897;0;NA;0
177;0.389765518;423;0.27257;423;0.27257;289.64526;0;0.524700041;403;37.1573567501336;578;539974;0;286.18;765;0.27257;188.502;1;0;0;0;0
178;0.376688631;849;0.30566;849;0.30566;124.15955;0.38;0.567814264;724;38.43773;583;558289;0.405652196;122.015;0.12;0.10118;133.729;0.901868403;46;1998;0.13;0.405652196
179;0.399451724;343;0.64009;743;0.19422;167.3922;131;0.698770478;694;40.14323;591;275722;0.445454526;163.149;388;0.19422;139.136;0.916559613;0.63;0;NA;0.445454526
180;0.572583336;192;0.93541;616;0.32747;321.35791;0;0.784820389;341;37.1573567501336;369;179267;NA;312.761;114;0.17724;193.693;0.998098407;617;1994;0.26;0.26
181;0.361509802;471;0.67486;709;0.67486;263.94077;429;0.520204911;693;37.16793;528;517634;NA;248.123;0;0.2855;76.693;0.978177995;524;0;0.01;0.01
185;0.598458501;372;0.70514;541;0.11379;168.56771;0;0.905776889;576;41.50471;621;15567;NA;159.637;538;0.11379;130.284;0.999945289;706;1999;0.41;0.41
186;0.297949266;18;0.57605;815;0.15761;350.71955;519;0.352212817;881;37.1573567501336;901;789959;0;334.17;477;0.15761;152.013;1;1;2010;0.04;0
188;0.373464228;904;1.65865;607;0.20148;190.24934;0;0.682045692;441;37.1573567501336;326;534031;0.543052864;185.289;479;0.20148;75.031;0.86898109;1;2005;0.03;0.543052864
192;0.33238987;383;0.80806;383;0.80806;187.53261;0;0.450852685;681;30.38815;541;237520;0.350979506;180.355;145;0.40014;97.981;1;0;2000;0.05;0.350979506
193;0.342406391;438;0.40638;754;0.40638;295.60118;2.125;0.497307512;783;33.74831;704;64434;NA;290.65;124;0.40638;137.288;0.993633906;471;0;0.06;0.06
194;0.295470991;242;0.1805;737;0.1805;252.02893;149;0.424278927;372;37.1573567501336;467;512027;0;252.029;849;0.1805;168.323;1;484;0;NA;0
195;0.389535576;432;1.64757;153;0.3732;329.35138;0;0.602555589;144;37.1573567501336;287;737947;0.570850642;316.883;296;0.05381;111.079;0.906283576;599;2009;0.09;0.570850642
196;0.312131222;149;0.89743;299;0.4445;180.00934;258;0.385417447;97;37.1573567501336;325;495799;0;171.648;0;0.21804;133.009;1;682;0;NA;0
197;0.276702625;127;4.45323;0;2.817;244.45342;0;0.539181188;516;44.11559;0.59;245279;0.235846203;227.794;243;2.67534;146.577;0.990025117;1;0;0;0.235846203
198;0.599602643;166;1.34587;809;0.47161;282.53995;351;0.826075467;0.34;37.1573567501336;0.34;264857;NA;275.522;321;0.25359;140.458;1;595;1996;0.25;0.25
199;0.415517083;0.06;1.43656;854;0.98655;388.28363;2.49;0.684994897;551;51.50632;583;23178;0.26396982;383.994;148;0.75243;132.506;1;195;1983;NA;0.26396982
200;0.467110649;83;1.09248;0.65;0.70219;345.93914;416;0.761362238;0.04;54.5958;148;52141;0.447135796;339.754;0.83;0.50562;153.862;1;404;1997;0.06;0.447135796
201;0;151;0.57581;981;0.57581;243.1473;525;0.464481282;847;37.1573567501336;639;755756;0;235.886;851;0.57581;93.238;1;521;2010;0;0
202;0.537537201;555;0.45372;0;0.45372;261.74649;3.489;0.681598553;427;37.1573567501336;398;53826;0.714046553;250.921;386;0.20062;124.086;1;366;1986;0.2;0.714046553
203;0;908;0.18093;908;0.18093;172.25098;449;0.336970428;558;37.1573567501336;0.54;215830;NA;165.727;1;0.18093;66.765;1;805;0;0;0
204;0.549204384;233;0.65479;887;0.24895;216.60689;177;0.73118423;558;37.1573567501336;533;754188;0.413739836;214.192;598;0.0445;145.518;1;675;1988;NA;0.413739836
205;0.852186238;42;0.11182;956;0.11182;363.59791;0.09;0.892688611;638;37.1573567501336;371;279702;NA;353.913;1;0.11182;139.998;0.951770362;548;0;0.68;0.68
